"annee","pole","hopital","service","chef","note","garde","ECOS","pédagogie..5","avis","matiere"
"DFASM1","Pole 1","Bichat","Cardiologie","Steg",18,5,"oui",4,"Ne pas hésiter à aller vers les internes et qu’ils te déléguent des taches sinon on reste à regarder leur ordis, les infirmières sont top si vous vous présentez et que vous les aider (notamment ecg prise de tension++) elles vous feront faire des gestes ","Cardiologie"
"DFASM1","Pole 1","Saint-Joseph","Médecine vasculaire","Michon-Pasturel",18,0,"non",5,"C’était incroyable ! 
L’équipe et top, comme vous êtes seul et qu’on a pas trop de travail c’est l’occasion de poser pleins de questions sur tous les items que vous voulez ","Cardiologie"
"DFASM1","Pole 1","Saint-Louis","Maladies Infectieuses","Molina",18,0,"oui",4.5,"Stage super dans l'ensemble, permet de bien maitriser les principales pathologies infectieuses (VIH, tuberculose, aplasie fébrile, pneumonie++), les bactéries et antibiotiques! Possibilité d'être en demi-journée mais les entrées l'après-midi sont selon moi plus formatrices que les observations du matin. 
Cours 1fois/semaine très bien dans l'ensemble. 
Les visites sont très formatrices et les chefs répondent à nos questions.
Stage quand même interne-dépendant, la majorité du temps on est seul en salle avec les internes.","Maladies infectieuses"
"DFASM1","Pole 1","HEGP","Médecine vasculaire HTA","Messas",15,5,"oui",4,"Ne pas hésiter à poser énormément de questions et s'investir +++ même si mauvais feeling au début. Tout le monde peut avoir des moments de mous et ça peut arriver de tomber au mauvais moment","Cardiologie"
"DFASM1","Pole 1","Lariboisière","Maladies Infectieuses","Molina",18,0,"non",4.5,"Incroyable pour apprendre 
Très transversale 
Prenant mais oklm ","Maladies infectieuses"
"DFASM1","Pole 1","Hôtel Dieu","Centre de diagnostic","BLACHER Hotel",14,0,"non",4,"Points positifs : 
Petit service spécialisé dans l’HTA avec pas mal de prevention (bilan d’hta secondaire et cardiovasculaire plus global)
Stage chill sans gardes ni astreintes pour un pole 1 dense 
Equipe sympa 
On est vraiment utile +++
Possibilité d’assister a des examens d’imagerie du coeur (ETT, Echo doppler )

Points négatifs :
Redondant +++ 
On apprend pas énormément 
","Maladies infectieuses"
"DFASM1","Pole 1","Lariboisière","Maladies Infectieuses","Molina",20,0,"non",4.5,"Stage incroyable ! Rien à redire ! On revoit tout le pilly ! L’encadrement est incroyable et tout est fait pour qu’on puisse apprendre ! ","Maladies infectieuses"
"DFASM1","Pole 1","Lariboisière","Maladies Infectieuses","Molina",19,0,"non",3,"- Equipe super pédagogue ++++ (après ça dépend un peu des CCA et internes mais les chefs sont top !)
- Vraie place de l’externe dans l’équipe avec plein de missions tout le temps
- Être en journée complète = faire les entrées l’aprem, suivre tes patients, devenir chaud en examen clinique et interrogatoire
- C’est pas aussi chiant qu’on croit d’être en journée complète juste faut se motiver à taffer un peu le soir si tu sors pas trop tard
- Horaires : 9h (donc chill) - 18h (mais souvent avant, ils te laissent sortir quand t’as plus de mission)
- Voir plein d’items du PILLY (et avoir le PILLY GRATOS !) et tu deviens pas trop mauvais en antibios (et ça c’est pas donné)
- Maladies infectieuses = un peu un mélange de plein de spécialités
- Présenter ses patients au staff (un peu flippant au début mais chill)
- Petit bémol : cours pas super intéressants (mais bon on y va pas tout le temps)","Maladies infectieuses"
"DFASM1","Pole 1","Bichat","Cardiologie","Steg",17,5,"oui",4,"Stage très formateur, passez en USIC si vous le pouvez. On a le droit à une rotation donc c'est sympas de faire une partie hospit conventionnelle et une autre USIC. 
On voit tout le collège, tu peux aller au bloc (partage stage avec externes chir cardiaque), voir des coro, des ETT/ETO c'est très varié! Les CCA et internes ne nous laissaient pas de côté, on faisait partie de l'équipe. Il faut par contre se montrer investi pour profiter à 100%. Très bon service! ","Cardiologie"
"DFASM1","Pole 1","HEGP","Néphrologie","THERVET",18,3,"oui",4.5,"Très bon stage pour commencer l’externat. Les cours donnés par les médecins sont absolument géniaux (en général 2 par semaine), ils te permettent vraiment d’ancrer les points importants du programme. 

Au niveau de l’organisation, on est divisé en deux : 4 en salle et 2 en HDJ.
- En salle : il faut remplir les pancartes de nos patients (ça prend pas plus de 30 min avec l’habitude), faire l’examen clinique, et mettre un mot d’évolution si on a le temps. Tu peux faire un ptit debrief avec l’interne s’il est dispo. Il y a une visite tous les mardis avec le Pr (plus pour les internes mais il te pose des questions aussi) et une visite le vendredi 1 fois sur 2 (cette visite est entièrement pour les externes, elles est très formateur). 
- En HDJ : on prend 1 patient chacun, tu regarde le dossier, examen clinique et tu fais un debrif complet avec l’interne. C’est très formateur, on t’apprend vraiment comment raisonner devant un signe clinique / anomalie biologique donné. Quand tu seras à l’aise, tu pourras commencer à rédiger les CR.","Néphrologie"
"DFASM1","Pole 1","Saint-Louis","Maladies Infectieuses","Molina",15,0,"oui",4.5,"Bilan général : Stage prenant, nécessitant une organisation du feu de Dieu dans un pôle 1 déjà très chargé. Cependant, possiblement un des stages où vous vous sentirez le plus utiles.

Les + :

- Très bon encadrement des CCA, internes et d’un des PUPH (le meilleur vous le reconnaîtrez). Tout le monde est hyper sympa (même les secrétaires).
- On se sent bien intégré à l’équipe.
- Ils offrent le PILLY au début du stage.
- On a toujours quelque chose à faire.
- Salle d’hospit variée qui accueille des cas qui couvrent pas mal d’items du Pilly.

Les - :

- Très prenant. Il faut savoir très bien s’organiser dans ce pôle 1 déjà pas facile. 
- Très interne dépendant. (Même si là ils sont tous géniaux).
- On a toujours un truc à faire. C’est aussi un point négatif : très dur d’ouvrir le pilly pour réviser.

En conclusion : préférez prendre le stage en demi journée si vous savez que vous avez du mal à vous organiser (le stage vous laisse le choix de journées complètes 2 semaines on deux semaines off ou demi journées).","Maladies infectieuses"
"DFASM1","Pole 1","Lariboisière","Maladies Infectieuses","Molina",17,0,"oui",4,"venir en stage, et être motivé car il y a du travail","Maladies infectieuses"
